"This list can be used as a reference sample set. Collection of image with ROI, multiple z-sections, timepoints etc.",,,,,,,,,,,
,,,,,,,,,,,
File Path (on squig),z-timepoints (more than one),timepoints (more than one),channels (more than one),HCS,Big,Size > 2G,ROI,Metadata rich,Multi-images file,For public work,Extra information
data_repo/test_images_metada/fv1000/1h.oib,N,Y (16),Y (3),N,N,N,N,Y,N,N,
data_repo/test_images_metada/leica-lif/Rosier.lif,N,N,Y (5),N,N,N,N,Y,Y,N,
data_repo/test_images_metada/zeiss-zvi/6ch-Z-stack_deconvolved.zvi,Y (27),N,Y (6),N,N,N,N,Y,N,N,
data_repo/test_images_bad/mike1_R3D.dv,BROKEN IMAGE,,,,,,,,,N,
data_repo/test_images_good/nifti/eNlf-02-05-08-rats25-28_v1_rat_25_conf_94.hdr,Y (96),N,N,N,N,N,N,N,N,N,Pixels type: Float
data_repo/test_images_good/ubm/SG2.PR3,N,N,N,N,N,N,N,N,N,N,Pixels type: 32-bit
data_repo/from_skyking/gatan/biosamplefullframe.dm3,N,N,N,N,"Y (""small"" one)",N,N,N,N,N,"Quicky to import, good to test viewer"
data_repo/from_skyking/flex/achim/003003000.flex,N,Y,Y (2),Y (small),N,N,N,Y (on channels),N,N,"Due to size, useful to test plate import and HCS UI functionalities"
data_repo/test_images_good/zeiss-lsm/2chZT.lsm,Y (21),Y (19),Y (2),N,N,N,N,N,N,N,"small image with z, t, c >1"
data_repo/test_images_good/dvIAGFP-Noc01_R3D.dv,Y (3),Y(23),N,N,N,N,N,N,N,N,with companion file i.e. .log
data_repo/96-well-sample-dataset,N,N,Y (4),Y (4 fields),N,N,N,Y (fair),N,N,Good for SPW scenario
data_repo/test_images_metadata/metamorph/MM_NDSTACK/TEST6.nd,mixed,Y (2),mixed,N,N,N,N,Y,Y,N,Multi Series (4)
data_repo/test_images_metadata/metamorph/MM_NDSTACK/TEST6.nd[0],Y (3),Y(2),Y (2),N,N,N,N,Y,Y,N, :- Sub image 0
data_repo/test_images_metadata/metamorph/MM_NDSTACK/TEST6.nd[1],N,Y(2),N,N,N,N,N,Y,Y,N,:- Sub image 1
data_repo/test_images_metadata/metamorph/MM_NDSTACK/TEST6.nd[2],Y (3),Y(2),Y (2),N,N,N,N,Y,Y,N,:- Sub image 2
data_repo/test_images_metadata/metamorph/MM_NDSTACK/TEST6.nd[3],N,Y(2),N,N,N,N,N,Y,Y,N,:- Sub image 3
data_repo/ROI-samples/zeiss-zvi/f1-measurements.ome.tiff,N,N,Y (3),N,N,N,"Y(Ellipse, Line, Point, Polyline, Rectangle)",N,N,N,
data_repo/test_images_good/jpeg/8kx8k.jpg,N,N,N,N,Y (8000x8000),Y,N,N,N,N,"Generates error from bfconvert: Exception in thread ""main"" loci.formats.FormatException: Image plane too large. Only 2GB of data can be extracted at one time. You can workaround the problem by opening the plane in tiles; for further details, see: http://www.openmicroscopy.org/site/support/faq/bio-formats/i-see-an-outofmemory-or-negativearraysize-error-message-when-attempting-to-open-an-svs-or-jpeg-2000-file.-what-does-this-mean"
data_repo/test_images_good/dv/CFPNEAT01_R3D.dv,Y (29) ,N,Y (3),N,N,N,N,Y (fair),N,N,Image with companion file.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
For Training and other public work,,,,,,,,,,,
team/Training/Training_Movie_ImageSetup/JCB Images/JCB - Timelapse - Civelekoglu-Scholey et al/200908150-Figure 1/7995-KLP61F-GFP.ome.tiff,Y(62),N,N,N,N,N,N,N,N,Yes (Licence: CC BY-NC-SA 3.0),
team/Training/Training_Movie_ImageSetup/JCB Images/JCB - Timelapse - Civelekoglu-Scholey et al/200908150-Figure 1/8071-Spindle dynamics in GFP-tubulin; Histone-RFP embryo.ome.tiff,N,Y(168),Y(2),N,N,N,N,N,N,Yes (Licence: CC BY-NC-SA 3.0),
team/Training/Training_Movie_ImageSetup/JCB Images/JCB - Timelapse - Civelekoglu-Scholey et al/200908150-Figure 6/8072-Perturbation of lamin-B envelope by antibody microinjection.ome.tiff,Y(9),Y(26),Y(2),N,N,N,N,N,N,Yes (Licence: CC BY-NC-SA 3.0),
team/Training/Training_Movie_ImageSetup/JCB Images/JCB - Timelapse - Civelekoglu-Scholey et al/200908150-Figure 6/8085-Perturbation of lamin-B envelope by tail subfragment microinjection.ome.tiff,Y(5),Y(72),Y(2),N,N,N,N,N,N,Yes (Licence: CC BY-NC-SA 3.0),
"team/Training/Training_Movie_ImageSetup/JCB Images/JCB - Structural analysis reveals features of the spindle checkpoint kinase Bub1â€“kinetochore subunit Knl1 interaction - Krenn, et al/201110013-Figure 1/132990- A mitotic cell expressing EGFP-fused, full-length Bub1 (green) and labeled for DNA (blue) and kinetochores (red).ome.tiff",N,N,Y(3),N,N,N,N,N,N,Yes (Licence: CC BY-NC-SA 3.0),
